age,workclass,education.num,marital.status,occupation,relationship,race,sex,capital.gain,capital.loss,hours.per.week,native.country,income,non_zero_capital_gain,non_zero_capital_loss
70+,Private,9,Widowed,Prof-specialty,Not-in-family,White,Female,0,4356,31-50,United-States,<=50K,,4356
70+,Private,9,Widowed,Exec-managerial,Not-in-family,White,Female,0,4356,11-30,United-States,<=50K,,4356
51-70,Private,10,Widowed,Prof-specialty,Unmarried,Black,Female,0,4356,31-50,United-States,<=50K,,4356
51-70,Private,4,Divorced,Machine-op-inspct,Unmarried,White,Female,0,3900,31-50,United-States,<=50K,,3900
31-50,Private,10,Separated,Prof-specialty,Own-child,White,Female,0,3900,31-50,United-States,<=50K,,3900
31-50,Private,9,Divorced,Other-service,Unmarried,White,Female,0,3770,31-50,United-States,<=50K,,3770
31-50,Private,6,Separated,Adm-clerical,Unmarried,White,Male,0,3770,31-50,United-States,<=50K,,3770
70+,State-gov,16,Never-married,Prof-specialty,Other-relative,White,Female,0,3683,11-30,United-States,>50K,,3683
51-70,Federal-gov,9,Divorced,Prof-specialty,Not-in-family,White,Female,0,3683,31-50,United-States,<=50K,,3683
31-50,Private,10,Never-married,Craft-repair,Unmarried,White,Male,0,3004,51-70,United-States,>50K,,3004
31-50,Private,16,Divorced,Prof-specialty,Unmarried,Black,Female,0,3004,31-50,United-States,>50K,,3004
31-50,Self-emp-not-inc,15,Never-married,Prof-specialty,Not-in-family,White,Male,0,2824,31-50,United-States,>50K,,2824
51-70,Private,13,Widowed,Other-service,Not-in-family,White,Female,0,2824,11-30,United-States,>50K,,2824
31-50,Private,14,Separated,Exec-managerial,Not-in-family,White,Male,0,2824,51-70,United-States,>50K,,2824
51-70,Private,16,Never-married,Prof-specialty,Not-in-family,White,Male,0,2824,31-50,United-States,>50K,,2824
31-50,Private,15,Divorced,Prof-specialty,Not-in-family,White,Male,0,2824,31-50,United-States,>50K,,2824
31-50,Private,7,Divorced,Transport-moving,Not-in-family,White,Male,0,2824,70+,United-States,>50K,,2824
51-70,Private,14,Divorced,Exec-managerial,Not-in-family,White,Male,0,2824,31-50,United-States,>50K,,2824
17-30,Private,12,Never-married,Handlers-cleaners,Not-in-family,Black,Male,0,2824,31-50,United-States,>50K,,2824
31-50,Private,13,Separated,Sales,Not-in-family,White,Male,0,2824,31-50,United-States,>50K,,2824
31-50,Private,13,Never-married,Exec-managerial,Not-in-family,White,Male,0,2824,31-50,United-States,>50K,,2824
17-30,Private,7,Separated,Sales,Not-in-family,White,Female,0,2754,31-50,United-States,<=50K,,2754
51-70,Private,9,Divorced,Sales,Unmarried,White,Female,0,2754,11-30,United-States,<=50K,,2754
51-70,Private,10,Married-civ-spouse,Transport-moving,Husband,White,Male,0,2603,31-50,United-States,<=50K,,2603
51-70,Private,9,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,2603,31-50,United-States,<=50K,,2603
17-30,Private,11,Married-civ-spouse,Craft-repair,Husband,White,Male,0,2603,31-50,United-States,<=50K,,2603
31-50,Private,2,Married-civ-spouse,Craft-repair,Not-in-family,White,Male,0,2603,31-50,Other,<=50K,,2603
31-50,Private,3,Married-civ-spouse,Other-service,Husband,White,Male,0,2603,31-50,Other,<=50K,,2603
31-50,Self-emp-inc,6,Never-married,Transport-moving,Not-in-family,White,Male,0,2559,31-50,United-States,>50K,,2559
31-50,Private,6,Never-married,Prof-specialty,Not-in-family,White,Male,0,2559,70+,United-States,>50K,,2559
17-30,Private,10,Separated,Other-service,Not-in-family,White,Male,0,2559,31-50,United-States,>50K,,2559
51-70,Self-emp-inc,6,Widowed,Exec-managerial,Unmarried,White,Female,0,2559,31-50,United-States,>50K,,2559
51-70,Private,15,Divorced,Exec-managerial,Not-in-family,White,Male,0,2559,51-70,United-States,>50K,,2559
51-70,Private,13,Divorced,Exec-managerial,Not-in-family,White,Male,0,2559,31-50,United-States,>50K,,2559
51-70,Self-emp-not-inc,9,Never-married,Exec-managerial,Not-in-family,Black,Male,0,2559,31-50,United-States,>50K,,2559
51-70,Federal-gov,16,Divorced,Exec-managerial,Not-in-family,White,Female,0,2559,51-70,United-States,>50K,,2559
51-70,Private,9,Never-married,Sales,Not-in-family,White,Male,0,2559,31-50,United-States,>50K,,2559
51-70,Private,15,Never-married,Prof-specialty,Not-in-family,White,Female,0,2559,31-50,United-States,>50K,,2559
31-50,Self-emp-not-inc,16,Never-married,Prof-specialty,Not-in-family,White,Female,0,2559,51-70,United-States,>50K,,2559
51-70,Private,14,Divorced,Prof-specialty,Not-in-family,White,Female,0,2559,31-50,United-States,>50K,,2559
31-50,Private,13,Divorced,Exec-managerial,Unmarried,White,Male,0,2547,31-50,United-States,>50K,,2547
31-50,Private,14,Divorced,Exec-managerial,Unmarried,White,Female,0,2547,31-50,United-States,>50K,,2547
51-70,Private,10,Divorced,Adm-clerical,Unmarried,White,Female,0,2547,31-50,United-States,>50K,,2547
31-50,Private,14,Divorced,Prof-specialty,Unmarried,White,Female,0,2547,31-50,United-States,>50K,,2547
70+,Private,9,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,2489,11-30,United-States,<=50K,,2489
31-50,Private,13,Married-spouse-absent,Sales,Unmarried,White,Female,0,2472,51-70,United-States,>50K,,2472
70+,Private,9,Married-civ-spouse,Sales,Husband,White,Male,0,2467,51-70,United-States,<=50K,,2467
70+,Self-emp-not-inc,9,Married-civ-spouse,Farming-fishing,Husband,Asian-Pac-Islander,Male,0,2457,31-50,Other,<=50K,,2457
51-70,Private,10,Married-civ-spouse,Prof-specialty,Wife,White,Female,0,2457,31-50,United-States,<=50K,,2457
51-70,Private,10,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,2457,31-50,United-States,<=50K,,2457
31-50,Self-emp-not-inc,15,Never-married,Prof-specialty,Not-in-family,White,Male,0,2444,31-50,United-States,>50K,,2444
31-50,Private,9,Widowed,Sales,Not-in-family,White,Female,0,2444,70+,United-States,>50K,,2444
51-70,State-gov,11,Divorced,Tech-support,Not-in-family,White,Male,0,2444,31-50,United-States,>50K,,2444
31-50,Private,10,Never-married,Exec-managerial,Not-in-family,White,Female,0,2444,31-50,United-States,>50K,,2444
31-50,Private,14,Never-married,Sales,Not-in-family,White,Male,0,2444,31-50,United-States,>50K,,2444
31-50,Private,13,Never-married,Exec-managerial,Other-relative,White,Male,0,2444,31-50,United-States,>50K,,2444
51-70,Private,10,Separated,Craft-repair,Not-in-family,White,Male,0,2444,31-50,United-States,>50K,,2444
31-50,Local-gov,10,Never-married,Protective-serv,Not-in-family,White,Male,0,2444,31-50,United-States,>50K,,2444
31-50,Private,13,Never-married,Sales,Not-in-family,White,Female,0,2444,31-50,United-States,>50K,,2444
31-50,Private,11,Separated,Craft-repair,Not-in-family,White,Male,0,2444,31-50,United-States,>50K,,2444
31-50,Private,12,Divorced,Craft-repair,Not-in-family,White,Male,0,2444,51-70,United-States,>50K,,2444
31-50,Self-emp-inc,7,Never-married,Exec-managerial,Other-relative,White,Male,0,2444,31-50,United-States,>50K,,2444
31-50,Private,10,Married-civ-spouse,Adm-clerical,Wife,White,Female,0,2415,0-10,United-States,>50K,,2415
51-70,Self-emp-not-inc,13,Married-civ-spouse,Sales,Husband,Asian-Pac-Islander,Male,0,2415,31-50,Other,>50K,,2415
31-50,Private,15,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,2415,31-50,United-States,>50K,,2415
51-70,Self-emp-inc,11,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,2415,51-70,United-States,>50K,,2415
31-50,Private,14,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,2415,51-70,United-States,>50K,,2415
51-70,Self-emp-inc,15,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,2415,31-50,Other,>50K,,2415
31-50,Self-emp-inc,13,Married-civ-spouse,Sales,Husband,White,Male,0,2415,51-70,United-States,>50K,,2415
31-50,Self-emp-inc,15,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,2415,51-70,United-States,>50K,,2415
31-50,Private,13,Married-civ-spouse,Sales,Husband,White,Male,0,2415,51-70,United-States,>50K,,2415
31-50,Self-emp-not-inc,9,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,2415,31-50,United-States,>50K,,2415
31-50,Local-gov,15,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,2415,31-50,United-States,>50K,,2415
51-70,Self-emp-inc,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,2415,31-50,United-States,>50K,,2415
31-50,Private,14,Married-civ-spouse,Exec-managerial,Wife,White,Female,0,2415,51-70,United-States,>50K,,2415
31-50,Private,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,2415,51-70,United-States,>50K,,2415
31-50,Private,11,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,2415,11-30,United-States,>50K,,2415
31-50,Private,14,Married-civ-spouse,Sales,Husband,White,Male,0,2415,51-70,United-States,>50K,,2415
31-50,Private,14,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,2415,31-50,United-States,>50K,,2415
31-50,Private,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,2415,31-50,United-States,>50K,,2415
31-50,Self-emp-inc,10,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,2415,51-70,United-States,>50K,,2415
51-70,Self-emp-inc,15,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,2415,70+,United-States,>50K,,2415
31-50,Private,14,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,2415,51-70,Other,>50K,,2415
51-70,Self-emp-not-inc,10,Married-civ-spouse,Farming-fishing,Husband,White,Male,0,2415,31-50,United-States,>50K,,2415
31-50,Self-emp-inc,13,Married-civ-spouse,Sales,Husband,White,Male,0,2415,31-50,United-States,>50K,,2415
31-50,Self-emp-not-inc,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,2415,31-50,United-States,>50K,,2415
31-50,Self-emp-not-inc,15,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,2415,31-50,United-States,>50K,,2415
31-50,Federal-gov,15,Married-civ-spouse,Prof-specialty,Husband,Asian-Pac-Islander,Male,0,2415,51-70,United-States,>50K,,2415
31-50,Self-emp-inc,14,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,2415,51-70,United-States,>50K,,2415
31-50,Private,15,Married-civ-spouse,Prof-specialty,Husband,Asian-Pac-Islander,Male,0,2415,51-70,Other,>50K,,2415
31-50,Self-emp-not-inc,13,Married-civ-spouse,Sales,Husband,White,Male,0,2415,31-50,United-States,>50K,,2415
